link,gambar,nama,harga,diskon
https://shopee.co.id/Racun-Tikus-PETROKUM-Umpan-Pembasmi-Hama-Curut-Rodentisida-100-gram-i.223069711.40680681821?extraParams=%7B%22display_model_id%22%3A370887647544%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wh-mnxy5fznz0g220,Racun Tikus PETROKUM Umpan Pembasmi Hama Curut Rodentisida - 100 gram,7.750,-,-6%
https://shopee.co.id/EM4-Tanaman-Pertanian-volume-1-liter-i.223069711.58160092113?extraParams=%7B%22display_model_id%22%3A385887513725%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wq-mnxrgmc8cjybb9,EM4 Tanaman Pertanian volume 1 liter,36.000,-,-1%
https://shopee.co.id/Media-Tanam-PERLITE-JEPANG-3-8mm-1kg-i.223069711.58060206717?extraParams=%7B%22display_model_id%22%3A385896859025%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wq-mo0sfcx5tude97,Media Tanam - PERLITE JEPANG 3-8mm - 1kg,74.000,-,-1%
https://shopee.co.id/MASA-VEGETATIF-GAVIOTA-63-HIJAU-21-21-21-50GR-1PC-i.223069711.58060142386?extraParams=%7B%22display_model_id%22%3A400892040583%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wk-mnz8msv9r0g062,MASA VEGETATIF GAVIOTA 63 HIJAU 21 21 21 50GR - 1PC,11.500,-,-4%
https://shopee.co.id/Hand-Sprayer-Alat-Semprot-ASENA-Tabung-Diamond-400ml-1pc-i.223069711.57910157288?extraParams=%7B%22display_model_id%22%3A410893175416%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mnzgk6uekidia0,Hand Sprayer Alat Semprot ASENA Tabung Diamond 400ml - 1pc,9.000,-,-5%
https://shopee.co.id/AB-mix-cair-Sayuran-Daun-500ml-i.223069711.57760207542?extraParams=%7B%22display_model_id%22%3A375897190234%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wt-mo0v0jvjmiv63b,AB mix cair Sayuran Daun 500ml,34.200,-,-1%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-3m-x-7m-1pcs-i.223069711.57760192962?extraParams=%7B%22display_model_id%22%3A350895900862%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wj-mo0jvjubusqp54,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 3m x 7m - 1pcs,160.500,-,-1%
https://shopee.co.id/AB-Mix-Cair-NETAFARM-Sayuran-Daun-100ml-Stock-A-dan-B-i.223069711.57610202870?extraParams=%7B%22display_model_id%22%3A277603288481%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0u3crmn18o5b,AB Mix Cair NETAFARM - Sayuran Daun 100ml Stock A dan B,6.900,-,-7%
https://shopee.co.id/REDINET-Jaring-Paranet-Anti-Uv-90-Pelindung-Sinar-Matahari-Shading-Net-2m-x-8m-1pcs-i.223069711.57610184661?extraParams=%7B%22display_model_id%22%3A335896051767%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wo-mo0lc8xf45ja1e,REDINET Jaring Paranet Anti Uv 90% Pelindung Sinar Matahari Shading Net 2m x 8m - 1pcs,122.500,-,-1%
https://shopee.co.id/Pupuk-Kandang-Kambing-Fermentasi-Organik-10-kg-i.223069711.57360200327?extraParams=%7B%22display_model_id%22%3A345896230208%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wl-mo0n6qphsbuu7e,Pupuk Kandang Kambing Fermentasi Organik - 10 kg,32.100,-,-2%
